Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","941.7305","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2018","2018","3050","FAO TIER 1","kt","158819.0871","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","167842.13","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","74.6256","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","981.6925","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kt","168898.4481","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2020","2020","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2021","2021","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","158866.2634","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","72.9512","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","924.6645","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","159863.8791","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2018","2018","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2018","2018","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2019","2019","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2019","2019","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2020","2020","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2020","2020","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2021","2021","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2021","2021","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-40537.2","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2021","2021","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2021","2021","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","7273","Emissions (CO2)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6795","Savanna fires","2018","2018","3050","FAO TIER 1","kt","236.2164","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6795","Savanna fires","2018","2018","3050","FAO TIER 1","kt","204.1295","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2018","2018","3050","FAO TIER 1","kt","440.3459","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kt","142.0496","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kt","122.748","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kt","264.7976","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","6795","Savanna fires","2020","2020","3050","FAO TIER 1","kt","93.0748","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","6795","Savanna fires","2020","2020","3050","FAO TIER 1","kt","80.4275","E","Estimated value",""
